ID,Label
D6 - 1,Human
D6 - 2,AI
D6 - 3,Human
D6 - 4,AI
D6 - 5,Human
D6 - 6,AI
D6 - 7,Human
D6 - 8,AI
D6 - 9,Human
D6 - 10,AI
D6 - 11,Human
D6 - 12,AI
D6 - 13,Human
D6 - 14,AI
D6 - 15,Human
D6 - 16,AI
D6 - 17,Human
D6 - 18,AI
D6 - 19,Human
D6 - 20,AI
D6 - 21,Human
D6 - 22,AI
D6 - 23,Human
D6 - 24,AI
D6 - 25,Human
D6 - 26,AI
D6 - 27,Human
D6 - 28,Human
D6 - 29,AI
D6 - 30,Human
D6 - 31,AI
D6 - 32,Human
D6 - 33,AI
D6 - 34,Human
D6 - 35,AI
D6 - 36,Human
D6 - 37,AI
D6 - 38,Human
D6 - 39,AI
D6 - 40,Human
D6 - 41,AI
D6 - 42,Human
D6 - 43,AI
D6 - 44,Human
D6 - 45,AI
D6 - 46,Human
D6 - 47,AI
D6 - 48,Human
D6 - 49,Human
D6 - 50,AI
D6 - 51,Human
D6 - 52,AI
D6 - 53,Human
D6 - 54,Human
D6 - 55,AI
D6 - 56,Human
D6 - 57,AI
D6 - 58,Human
D6 - 59,AI
D6 - 60,Human
D6 - 61,AI
D6 - 62,Human
D6 - 63,AI
D6 - 64,Human
D6 - 65,AI
D6 - 66,Human
D6 - 67,Human
D6 - 68,AI
D6 - 69,Human
D6 - 70,AI
D6 - 71,Human
D6 - 72,Human
D6 - 73,AI
D6 - 74,Human
D6 - 75,AI
D6 - 76,Human
D6 - 77,AI
D6 - 78,Human
D6 - 79,AI
D6 - 80,Human
D6 - 81,AI
D6 - 82,Human
D6 - 83,AI
D6 - 84,Human
D6 - 85,AI
D6 - 86,Human
D6 - 87,AI
D6 - 88,Human
D6 - 89,AI
D6 - 90,Human
D6 - 91,AI
D6 - 92,Human
D6 - 93,AI
D6 - 94,Human
D6 - 95,AI
D6 - 96,Human
D6 - 97,AI
D6 - 98,Human
D6 - 99,AI
D6 - 100,Human
D6 - 101,AI
D6 - 102,Human
D6 - 103,AI
D6 - 104,Human
D6 - 105,AI
D6 - 106,Human
D6 - 107,AI
D6 - 108,Human
D6 - 109,AI
D6 - 110,Human
D6 - 111,AI
D6 - 112,Human
D6 - 113,AI
D6 - 114,Human
D6 - 115,AI
D6 - 116,Human
D6 - 117,AI
D6 - 118,Human
D6 - 119,AI
D6 - 120,Human
D6 - 121,AI
D6 - 122,Human
D6 - 123,AI
D6 - 124,Human
D6 - 125,AI
D6 - 126,Human
D6 - 127,AI
D6 - 128,Human
D6 - 129,AI
D6 - 130,Human
D6 - 131,AI
D6 - 132,Human
D6 - 133,AI
D6 - 134,Human
D6 - 135,AI
D6 - 136,Human
D6 - 137,AI
D6 - 138,Human
D6 - 139,AI
D6 - 140,Human
D6 - 141,AI
D6 - 142,Human
D6 - 143,AI
D6 - 144,Human
D6 - 145,AI
D6 - 146,Human
D6 - 147,AI
D6 - 148,Human
D6 - 149,AI
D6 - 150,Human
D6 - 151,AI
D6 - 152,Human
D6 - 153,AI
D6 - 154,Human
D6 - 155,AI
D6 - 156,Human
D6 - 157,AI
D6 - 158,Human
D6 - 159,AI
D6 - 160,Human
D6 - 161,AI
D6 - 162,Human
D6 - 163,AI
D6 - 164,Human
D6 - 165,Human
D6 - 166,Human
D6 - 167,AI
D6 - 168,Human
D6 - 169,AI
D6 - 170,Human
D6 - 171,AI
D6 - 172,Human
D6 - 173,AI
D6 - 174,Human
D6 - 175,AI
D6 - 176,Human
D6 - 177,AI
D6 - 178,Human
D6 - 179,Human
D6 - 180,Human
D6 - 181,AI
D6 - 182,Human
D6 - 183,AI
D6 - 184,Human
D6 - 185,AI
D6 - 186,Human
D6 - 187,Human
D6 - 188,AI
D6 - 189,Human
D6 - 190,AI
D6 - 191,Human
D6 - 192,AI
D6 - 193,Human
D6 - 194,AI
D6 - 195,Human
D6 - 196,AI
D6 - 197,Human
D6 - 198,AI
D6 - 199,Human
D6 - 200,Human
D6 - 201,AI
D6 - 202,Human
D6 - 203,AI
D6 - 204,Human
D6 - 205,AI
D6 - 206,Human
D6 - 207,AI
D6 - 208,Human
D6 - 209,AI
D6 - 210,Human
D6 - 211,AI
D6 - 212,Human
D6 - 213,AI
D6 - 214,Human
D6 - 215,Human
D6 - 216,AI
D6 - 217,Human
D6 - 218,AI
D6 - 219,Human
D6 - 220,AI
D6 - 221,Human
D6 - 222,AI
D6 - 223,Human
D6 - 224,AI
D6 - 225,Human
D6 - 226,AI
D6 - 227,Human
D6 - 228,AI
D6 - 229,Human
D6 - 230,AI
D6 - 231,Human
D6 - 232,AI
D6 - 233,Human
D6 - 234,Human
D6 - 235,AI
D6 - 236,Human
D6 - 237,AI
D6 - 238,Human
D6 - 239,AI
D6 - 240,Human
D6 - 241,AI
D6 - 242,Human
D6 - 243,AI
D6 - 244,Human
D6 - 245,AI
D6 - 246,Human
D6 - 247,AI
D6 - 248,Human
D6 - 249,AI
D6 - 250,Human
D6 - 251,AI
D6 - 252,Human
D6 - 253,AI
D6 - 254,Human
D6 - 255,AI
D6 - 256,Human
D6 - 257,AI
D6 - 258,Human
D6 - 259,AI
D6 - 260,Human
D6 - 261,AI
D6 - 262,Human
D6 - 263,AI
D6 - 264,Human
D6 - 265,AI
D6 - 266,Human
D6 - 267,AI
D6 - 268,Human
D6 - 269,AI
D6 - 270,Human
D6 - 271,AI
D6 - 272,Human
D6 - 273,Human
D6 - 274,AI
D6 - 275,Human
D6 - 276,AI
D6 - 277,Human
D6 - 278,AI
D6 - 279,Human
D6 - 280,AI
D6 - 281,Human
D6 - 282,AI
D6 - 283,Human
D6 - 284,AI
D6 - 285,Human
D6 - 286,AI
D6 - 287,Human
D6 - 288,AI
D6 - 289,Human
D6 - 290,AI
D6 - 291,Human
D6 - 292,Human
D6 - 293,AI
D6 - 294,Human
D6 - 295,AI
D6 - 296,Human
D6 - 297,AI
D6 - 298,Human
D6 - 299,AI
D6 - 300,Human
D6 - 301,AI
D6 - 302,Human
D6 - 303,Human
D6 - 304,AI
D6 - 305,Human
D6 - 306,AI
D6 - 307,Human
D6 - 308,AI
D6 - 309,Human
D6 - 310,AI
D6 - 311,Human
D6 - 312,Human
D6 - 313,AI
D6 - 314,Human
D6 - 315,AI
D6 - 316,Human
D6 - 317,AI
D6 - 318,Human
D6 - 319,AI
D6 - 320,Human
D6 - 321,Human
D6 - 322,AI
D6 - 323,Human
D6 - 324,Human
D6 - 325,AI
D6 - 326,Human
D6 - 327,AI
D6 - 328,Human
D6 - 329,AI
D6 - 330,Human
D6 - 331,AI
D6 - 332,Human
D6 - 333,AI
D6 - 334,Human
D6 - 335,AI
D6 - 336,Human
D6 - 337,AI
D6 - 338,Human
D6 - 339,AI
D6 - 340,Human
D6 - 341,AI
D6 - 342,Human
D6 - 343,Human
D6 - 344,Human
D6 - 345,AI
D6 - 346,Human
D6 - 347,AI
D6 - 348,Human
D6 - 349,Human
D6 - 350,AI
D6 - 351,Human
D6 - 352,AI
D6 - 353,Human
D6 - 354,AI
D6 - 355,Human
D6 - 356,Human
D6 - 357,AI
D6 - 358,Human
D6 - 359,AI
D6 - 360,Human
D6 - 361,Human
D6 - 362,AI
D6 - 363,Human
D6 - 364,AI
D6 - 365,Human
D6 - 366,AI
D6 - 367,Human
D6 - 368,AI
D6 - 369,Human
D6 - 370,AI
D6 - 371,Human
D6 - 372,AI
D6 - 373,Human
D6 - 374,AI
D6 - 375,Human
D6 - 376,AI
D6 - 377,Human
D6 - 378,Human
D6 - 379,AI
D6 - 380,Human
D6 - 381,AI
D6 - 382,Human
D6 - 383,AI
D6 - 384,Human
D6 - 385,AI
D6 - 386,Human
D6 - 387,Human
D6 - 388,AI
D6 - 389,Human
D6 - 390,AI
D6 - 391,Human
D6 - 392,AI
D6 - 393,Human
D6 - 394,AI
D6 - 395,Human
D6 - 396,AI
D6 - 397,Human
D6 - 398,AI
D6 - 399,Human
D6 - 400,AI
D6 - 401,Human
D6 - 402,Human
D6 - 403,AI
D6 - 404,Human
D6 - 405,AI
D6 - 406,Human
D6 - 407,AI
D6 - 408,Human
D6 - 409,Human
D6 - 410,AI
D6 - 411,Human
D6 - 412,AI
D6 - 413,Human
D6 - 414,AI
D6 - 415,Human
D6 - 416,AI
D6 - 417,Human
D6 - 418,Human
D6 - 419,AI
D6 - 420,Human
D6 - 421,AI
D6 - 422,Human
D6 - 423,AI
D6 - 424,Human
D6 - 425,AI
D6 - 426,Human
D6 - 427,AI
D6 - 428,Human
D6 - 429,AI
D6 - 430,Human
D6 - 431,AI
D6 - 432,Human
D6 - 433,AI
D6 - 434,Human
D6 - 435,AI
D6 - 436,Human
D6 - 437,AI
D6 - 438,Human
D6 - 439,AI
D6 - 440,Human
D6 - 441,AI
D6 - 442,Human
D6 - 443,AI
D6 - 444,Human
D6 - 445,AI
D6 - 446,Human
D6 - 447,AI
D6 - 448,Human
D6 - 449,AI
D6 - 450,Human
D6 - 451,AI
D6 - 452,Human
D6 - 453,AI
D6 - 454,Human
D6 - 455,AI
D6 - 456,Human
D6 - 457,AI
D6 - 458,Human
D6 - 459,AI
D6 - 460,Human
D6 - 461,AI
D6 - 462,Human
D6 - 463,AI
D6 - 464,Human
D6 - 465,AI
D6 - 466,Human
D6 - 467,AI
D6 - 468,Human
D6 - 469,AI
D6 - 470,Human
D6 - 471,AI
D6 - 472,Human
D6 - 473,AI
D6 - 474,Human
D6 - 475,AI
D6 - 476,Human
D6 - 477,AI
D6 - 478,Human
D6 - 479,AI
D6 - 480,Human
D6 - 481,AI
D6 - 482,Human
D6 - 483,AI
D6 - 484,Human
D6 - 485,AI
D6 - 486,Human
D6 - 487,AI
D6 - 488,Human
D6 - 489,AI
D6 - 490,Human
D6 - 491,AI
D6 - 492,Human
D6 - 493,AI
D6 - 494,Human
D6 - 495,AI
D6 - 496,Human
D6 - 497,AI
D6 - 498,Human
D6 - 499,AI
D6 - 500,Human
D6 - 501,AI
D6 - 502,Human
D6 - 503,Human
D6 - 504,AI
D6 - 505,Human
D6 - 506,Human
D6 - 507,AI
D6 - 508,Human
D6 - 509,AI
D6 - 510,Human
D6 - 511,AI
D6 - 512,Human
D6 - 513,AI
D6 - 514,Human
D6 - 515,AI
D6 - 516,Human
