ID,Text,Label
D5 - 1,y r u always l8 to the meetings?,Human
D5 - 2,The project team embraced a user-centric design approach for product development.,AI
D5 - 3,"i dont like dealing with risks, it's too stressful",Human
D5 - 4,"i dont worry about reliability, it's good enough",Human
D5 - 5,"i dont care about human-centered design, just give me the final product",Human
D5 - 6,The study's methodology ensured a representative sample across demographics.,AI
D5 - 7,"i dont care about industry practices, just give me the solution",Human
D5 - 8,The project team documented all processes for transparency.,AI
D5 - 9,The project team maintained open lines of communication.,AI
D5 - 10,The findings are consistent with existing theoretical frameworks.,AI
D5 - 11,"i dont like inclusive decision-making, it's too slow",Human
D5 - 12,The results are presented in a logically organized manner.,AI
D5 - 13,The research findings have practical implications for industry professionals.,AI
D5 - 14,"i dont talk about limitations, it makes me look bad",Human
D5 - 15,The research methodology incorporated a multi-method approach for comprehensive data.,AI
D5 - 16,"i dont care about participant responses, just give me the data",Human
D5 - 17,"The study's limitations are openly acknowledged, recognizing study boundaries.",AI
D5 - 18,"The study's limitations are openly discussed, recognizing potential shortcomings.",AI
D5 - 19,"i dont like solving problems, it's too much effort",Human
D5 - 20,"i dont care about skill development, it's irrelevant",Human
D5 - 21,The research findings contribute to the theoretical foundation of the field.,AI
D5 - 22,The project team maintained a collaborative and inclusive decision-making process.,AI
D5 - 23,"i dont worry about bias, it's unavoidable",Human
D5 - 24,"i prefer working alone, teamwork is too complicated",Human
D5 - 25,The study of behavioral economics examines the psychological factors influencing economic decisions.,AI
D5 - 26,lol ur jokes r so lame,Human
D5 - 27,The project team prioritized transparent communication with stakeholders.,AI
D5 - 28,"In environmental science, the impact of deforestation on biodiversity is a critical concern.",AI
D5 - 29,The research design accounts for potential confounding variables.,AI
D5 - 30,"In the field of robotics, biomimicry leads to the development of more efficient robots.",AI
D5 - 31,"i dont like solving problems, it's too much effort",Human
D5 - 32,"i dont talk about limitations, it makes me look bad",Human
D5 - 33,The project team adhered to the project timeline.,AI
D5 - 34,"i dont worry about accuracy, it's good enough",Human
D5 - 35,It's important to cite sources properly in academic writing.,AI
D5 - 36,The project team utilized feedback to enhance the project deliverables.,AI
D5 - 37,"i dont care about psychological factors, just give me the data",Human
D5 - 38,"The study's limitations are openly discussed, addressing potential biases.",AI
D5 - 39,"i dont understand machine learning, just give me the conclusion",Human
D5 - 40,The project team displayed creativity in problem-solving.,AI
D5 - 41,The project team maintained a high level of accuracy in data entry.,AI
D5 - 42,"i dont like continuous feedback, it's too repetitive",Human
D5 - 43,"The study's limitations are transparently presented, acknowledging potential challenges.",AI
D5 - 44,"i dont like open communication, it's too time-consuming",Human
D5 - 45,"i dont care about internal validity, it's too technical",Human
D5 - 46,"i prefer to follow, leadership is too much responsibility",Human
D5 - 47,"In automotive design, aerodynamics play a crucial role in improving fuel efficiency.",AI
D5 - 48,ur not gonna believe what happened in class today,Human
D5 - 49,y r u always l8 to the meetings?,Human
D5 - 50,The results are presented in a visually appealing and clear manner.,AI
D5 - 51,The research methodology ensures data validity through robust statistical checks.,AI
D5 - 52,The analysis revealed statistically significant correlations.,AI
D5 - 53,The project team exhibited a high level of professionalism.,AI
D5 - 54,"i dont pay attention to details, they slow me down",Human
D5 - 55,"i dont like collaborative knowledge-sharing, it's too time-consuming",Human
D5 - 56,"i dont care about biofuels, just give me the data",Human
D5 - 57,"i dont care about response rates, its not important",Human
D5 - 58,The automotive industry is exploring self-driving technology for safer transportation.,AI
D5 - 59,The analysis considered potential correlations between variables for deeper understanding.,AI
D5 - 60,The research design accounts for potential bias in data collection.,AI
D5 - 61,"i dont need real-world problems, just give me the solution",Human
D5 - 62,The analysis employed rigorous statistical controls for data accuracy.,AI
